country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude
IN,"jawaharlal nehru stadium, delhi - dpcc",o3,caaqm,µg/m³,200.5,2018-05-10 15:00:00+05:30,india,28.5828503,77.2321778
IN,"bandhavgar colony, satna - birla cement",so2,caaqm,µg/m³,5.77,2022-10-31 07:30:00+05:30,india,24.584343630000003,80.85494140000002
IN,"manali village, chennai - tnpcb",no2,caaqm,µg/m³,6.92,2019-07-19 10:45:00+05:30,india,11.258244,77.552429
IN,"dwarka-sector 8, delhi - dpcc",pm2.5,caaqm,µg/m³,246.0,2022-10-31 06:15:00+05:30,india,28.571027399999995,77.0719006
IN,"dwarka-sector 8, delhi - dpcc",co,caaqm,µg/m³,1400.0,2022-10-31 06:15:00+05:30,india,28.571027399999995,77.0719006
IN,"vivek vihar, delhi - dpcc",co,caaqm,µg/m³,3200.0,2022-10-31 06:15:00+05:30,india,28.672342000000004,77.31525999999998
IN,"vivek vihar, delhi - dpcc",o3,caaqm,µg/m³,9.0,2022-10-31 06:15:00+05:30,india,28.672342000000004,77.31525999999998
IN,"phase-4 gidc, vatva - gpcb",pm2.5,caaqm,µg/m³,52.61,2022-10-31 07:30:00+05:30,india,22.969611,72.6435
IN,"h.b. colony, bhiwani - hspcb",pm2.5,caaqm,µg/m³,95.7,2022-10-31 07:15:00+05:30,india,28.806223,76.141105
IN,"municipal corporation office, dharuhera -  hspcb",co,caaqm,µg/m³,1010.0,2022-10-31 07:15:00+05:30,india,28.206799999999998,76.79970000000002
IN,"sector-18, panipat - hspcb",o3,caaqm,µg/m³,28.04,2022-10-31 07:15:00+05:30,india,29.497973,76.993331
IN,"worli, mumbai - mpcb",pm2.5,caaqm,µg/m³,66.0,2022-10-31 07:30:00+05:30,india,18.9936162,72.8128113
IN,"sion, mumbai - mpcb",so2,caaqm,µg/m³,9.56,2022-10-31 07:15:00+05:30,india,19.047,72.8746
IN,"shastri nagar, narnaul - hspcb",no2,caaqm,µg/m³,19.38,2022-10-31 07:30:00+05:30,india,28.060249,76.113115
IN,"sector-1, noida - uppcb",o3,caaqm,µg/m³,7.92,2022-10-16 21:30:00+05:30,india,28.589800000000004,77.3101
IN,"yamunapuram, bulandshahr - uppcb",so2,caaqm,µg/m³,11.6,2022-10-16 21:30:00+05:30,india,28.406963,77.849831
IN,"r k puram, delhi - dpcc",pm10,caaqm,µg/m³,364.0,2022-10-31 06:15:00+05:30,india,28.563262000000005,77.186937
IN,"gomti nagar, lucknow - uppcb",pm2.5,caaqm,µg/m³,40.0,2022-10-16 21:30:00+05:30,india,26.86812,81.005119
IN,"shyam nagar, palwal - hspcb",pm2.5,caaqm,µg/m³,131.51,2020-01-01 14:45:00+05:30,india,28.1485564,77.33006669999999
IN,"gole bazar, katni - mppcb",so2,caaqm,µg/m³,11.5,2020-01-07 14:45:00+05:30,india,23.833778,80.39122199999998
