country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude,date,year,month,hour,weekday,is_weekend
IN,"sector16a, faridabad - hspcb",pm10,cpcb,µg/m³,110.0,2018-01-29 19:20:00+05:30,india,28.41012222,77.313775,2018-01-29,2018,1,19,Monday,False
IN,"golden temple, amritsar - ppcb",no2,caaqm,µg/m³,57.91,2022-10-31 07:30:00+05:30,india,31.62,74.876512,2022-10-31,2022,10,7,Monday,False
IN,"collectorate, gaya - bspcb",no2,caaqm,µg/m³,8.5,2022-10-31 07:30:00+05:30,india,24.7955,84.9994,2022-10-31,2022,10,7,Monday,False
IN,"punjab agricultural university, ludhiana - ppcb",pm2.5,caaqm,µg/m³,98.69,2022-10-31 07:30:00+05:30,india,30.902800000000003,75.8086,2022-10-31,2022,10,7,Monday,False
IN,"peenya, bengaluru - cpcb",no2,caaqm,µg/m³,31.84,2022-10-31 07:15:00+05:30,india,13.0270199,77.494094,2022-10-31,2022,10,7,Monday,False
IN,"north campus, du, delhi - imd",pm10,caaqm,µg/m³,235.44,2022-10-31 07:30:00+05:30,india,28.6573814,77.1585447,2022-10-31,2022,10,7,Monday,False
IN,"chandrapur, chandrapur - mpcb",pm10,caaqm,µg/m³,123.0,2022-10-31 07:30:00+05:30,india,19.645324,77.6345232,2022-10-31,2022,10,7,Monday,False
IN,"sidhu kanhu indoor stadium, durgapur - wbpcb",o3,caaqm,µg/m³,1.4,2022-10-31 07:15:00+05:30,india,23.5404352,87.2892225,2022-10-31,2022,10,7,Monday,False
IN,"central university, hyderabad - tspcb",pm2.5,caaqm,µg/m³,52.0,2022-10-31 07:30:00+05:30,india,17.460103,78.334361,2022-10-31,2022,10,7,Monday,False
IN,"adarsh nagar, jaipur - rspcb",pm2.5,caaqm,µg/m³,121.7,2022-10-31 07:30:00+05:30,india,26.902909,75.836858,2022-10-31,2022,10,7,Monday,False
